,Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Return Rate,Monthly,Net Revenue
18,2020-01-13,Fish Oil,Omega,145,27.49,3986.05,0.19,2,USA,Walmart,0.013793103448275862,2020-01,3941.5162
19,2020-01-13,Multivitamin,Vitamin,137,14.92,2044.04,0.17,2,USA,Amazon,0.014598540145985401,2020-01,2019.2728
20,2020-01-13,Pre-Workout,Performance,141,14.11,1989.51,0.24,1,Canada,iHerb,0.0070921985815602835,2020-01,1978.7864
21,2020-01-13,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,Canada,Amazon,0.0,2020-01,4656.0
22,2020-01-13,Creatine,Performance,154,42.2,6498.8,0.13,0,UK,Walmart,0.0,2020-01,6498.8
23,2020-01-13,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon,0.012987012987012988,2020-01,7223.76
24,2020-01-13,Collagen Peptides,Protein,134,56.4,7557.6,0.06,1,Canada,iHerb,0.007462686567164179,2020-01,7504.584000000001
25,2020-01-13,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon,0.006756756756756757,2020-01,5985.306
26,2020-01-13,Ashwagandha,Herbal,133,54.35,7228.55,0.16,1,UK,Walmart,0.007518796992481203,2020-01,7182.896000000001
27,2020-01-13,Melatonin,Sleep Aid,141,33.03,4657.23,0.21,2,USA,Amazon,0.014184397163120567,2020-01,4605.0426
28,2020-01-13,Biotin,Vitamin,161,18.87,3038.07,0.14,5,USA,iHerb,0.031055900621118012,2020-01,2956.929
29,2020-01-13,Green Tea Extract,Fat Burner,174,18.24,3173.76,0.03,2,USA,Walmart,0.011494252873563218,2020-01,3138.3744
30,2020-01-13,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,0.012269938650306749,2020-01,5696.5118
31,2020-01-13,Electrolyte Powder,Hydration,151,35.42,5348.42,0.07,2,USA,Amazon,0.013245033112582781,2020-01,5282.5388
32,2020-01-20,Whey Protein,Protein,157,41.81,6564.17,0.19,0,USA,Walmart,0.0,2020-01,6564.17
33,2020-01-20,Vitamin C,Vitamin,149,22.33,3327.17,0.18,5,UK,Walmart,0.03355704697986577,2020-01,3235.617
34,2020-01-20,Fish Oil,Omega,131,50.0,6550.0,0.05,1,USA,Walmart,0.007633587786259542,2020-01,6502.5
35,2020-01-20,Multivitamin,Vitamin,159,19.4,3084.6,0.09,2,USA,Walmart,0.012578616352201259,2020-01,3049.292
36,2020-01-20,Pre-Workout,Performance,152,48.05,7303.6,0.01,2,USA,iHerb,0.013157894736842105,2020-01,7208.461
37,2020-01-20,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon,0.020689655172413793,2020-01,2480.6656000000003
38,2020-01-20,Creatine,Performance,148,54.31,8037.88,0.15,1,UK,iHerb,0.006756756756756757,2020-01,7991.7165
39,2020-01-20,Zinc,Mineral,147,10.16,1493.52,0.15,1,USA,iHerb,0.006802721088435374,2020-01,1484.884
40,2020-01-20,Collagen Peptides,Protein,161,39.41,6345.01,0.12,2,UK,Walmart,0.012422360248447204,2020-01,6275.6484
41,2020-01-20,Magnesium,Mineral,126,38.07,4796.82,0.14,1,Canada,Amazon,0.007936507936507936,2020-01,4764.0797999999995
42,2020-01-20,Ashwagandha,Herbal,156,23.49,3664.44,0.21,1,Canada,iHerb,0.00641025641025641,2020-01,3645.8829
43,2020-01-20,Melatonin,Sleep Aid,128,26.71,3418.88,0.2,2,Canada,iHerb,0.015625,2020-01,3376.1440000000002
44,2020-01-20,Biotin,Vitamin,161,32.01,5153.61,0.04,1,Canada,Amazon,0.006211180124223602,2020-01,5122.8804
45,2020-01-20,Green Tea Extract,Fat Burner,148,21.03,3112.44,0.15,2,UK,Walmart,0.013513513513513514,2020-01,3076.689
46,2020-01-20,Iron Supplement,Mineral,155,41.81,6480.55,0.2,0,UK,iHerb,0.0,2020-01,6480.55
47,2020-01-20,Electrolyte Powder,Hydration,147,29.19,4290.93,0.14,2,USA,Amazon,0.013605442176870748,2020-01,4240.7232
48,2020-01-27,Whey Protein,Protein,137,26.73,3662.01,0.01,0,UK,Amazon,0.0,2020-01,3662.01
49,2020-01-27,Vitamin C,Vitamin,163,35.9,5851.7,0.07,4,UK,iHerb,0.024539877300613498,2020-01,5718.152
50,2020-01-27,Fish Oil,Omega,141,53.64,7563.24,0.21,0,Canada,iHerb,0.0,2020-01,7563.24
51,2020-01-27,Multivitamin,Vitamin,162,34.15,5532.3,0.03,0,UK,iHerb,0.0,2020-01,5532.3
52,2020-01-27,Pre-Workout,Performance,158,31.84,5030.72,0.18,2,USA,iHerb,0.012658227848101266,2020-01,4978.5024
53,2020-01-27,BCAA,Amino Acid,136,16.77,2280.72,0.19,2,USA,iHerb,0.014705882352941176,2020-01,2253.5526
54,2020-01-27,Creatine,Performance,180,12.85,2313.0,0.07,1,USA,Walmart,0.005555555555555556,2020-01,2301.0495
55,2020-01-27,Zinc,Mineral,140,47.97,6715.8,0.11,2,UK,iHerb,0.014285714285714285,2020-01,6630.4134
56,2020-01-27,Collagen Peptides,Protein,126,11.68,1471.68,0.02,3,Canada,Walmart,0.023809523809523808,2020-01,1437.3408000000002
57,2020-01-27,Magnesium,Mineral,135,30.55,4124.25,0.09,3,USA,Amazon,0.022222222222222223,2020-01,4040.8485
58,2020-01-27,Ashwagandha,Herbal,174,30.94,5383.56,0.07,2,Canada,Amazon,0.011494252873563218,2020-01,5326.011600000001
59,2020-01-27,Melatonin,Sleep Aid,156,38.27,5970.12,0.12,4,UK,iHerb,0.02564102564102564,2020-01,5835.4096
60,2020-01-27,Biotin,Vitamin,154,15.7,2417.8,0.04,1,UK,Walmart,0.006493506493506494,2020-01,2402.728
61,2020-01-27,Green Tea Extract,Fat Burner,141,38.06,5366.46,0.13,0,UK,iHerb,0.0,2020-01,5366.46
62,2020-01-27,Iron Supplement,Mineral,165,13.38,2207.7,0.18,2,USA,iHerb,0.012121212121212121,2020-01,2185.7567999999997
63,2020-01-27,Electrolyte Powder,Hydration,129,34.23,4415.67,0.04,3,Canada,Amazon,0.023255813953488372,2020-01,4317.0876
64,2020-02-03,Whey Protein,Protein,165,33.11,5463.15,0.1,2,Canada,iHerb,0.012121212121212121,2020-02,5403.552
65,2020-02-03,Vitamin C,Vitamin,152,35.63,5415.76,0.2,1,UK,Amazon,0.006578947368421052,2020-02,5387.256
66,2020-02-03,Fish Oil,Omega,138,18.24,2517.12,0.08,2,UK,Amazon,0.014492753623188406,2020-02,2483.5584
67,2020-02-03,Multivitamin,Vitamin,151,53.89,8137.39,0.22,3,UK,Amazon,0.019867549668874173,2020-02,8011.2874
68,2020-02-03,Pre-Workout,Performance,140,59.25,8295.0,0.19,0,UK,Amazon,0.0,2020-02,8295.0
69,2020-02-03,BCAA,Amino Acid,126,55.46,6987.96,0.13,1,USA,iHerb,0.007936507936507936,2020-02,6939.7098
70,2020-02-03,Creatine,Performance,132,51.11,6746.52,0.1,2,Canada,Amazon,0.015151515151515152,2020-02,6654.522000000001
71,2020-02-03,Zinc,Mineral,184,36.17,6655.28,0.07,3,Canada,Amazon,0.016304347826086956,2020-02,6554.365699999999
72,2020-02-03,Collagen Peptides,Protein,153,49.9,7634.7,0.1,3,UK,Amazon,0.0196078431372549,2020-02,7499.97
73,2020-02-03,Magnesium,Mineral,151,44.79,6763.29,0.2,1,Canada,Amazon,0.006622516556291391,2020-02,6727.458
74,2020-02-03,Ashwagandha,Herbal,135,19.21,2593.35,0.22,2,UK,Amazon,0.014814814814814815,2020-02,2563.3824
75,2020-02-03,Melatonin,Sleep Aid,135,40.76,5502.6,0.02,3,Canada,iHerb,0.022222222222222223,2020-02,5382.765600000001
76,2020-02-03,Biotin,Vitamin,162,58.36,9454.32,0.1,5,UK,Amazon,0.030864197530864196,2020-02,9191.699999999999
77,2020-02-03,Green Tea Extract,Fat Burner,156,18.3,2854.8,0.22,1,UK,iHerb,0.00641025641025641,2020-02,2840.5260000000003
78,2020-02-03,Iron Supplement,Mineral,136,37.99,5166.64,0.13,2,USA,Amazon,0.014705882352941176,2020-02,5100.5374
79,2020-02-03,Electrolyte Powder,Hydration,168,46.57,7823.76,0.05,3,Canada,iHerb,0.017857142857142856,2020-02,7691.0355
80,2020-02-10,Whey Protein,Protein,163,45.51,7418.13,0.08,1,UK,iHerb,0.006134969325153374,2020-02,7376.2608
81,2020-02-10,Vitamin C,Vitamin,163,27.89,4546.07,0.12,3,UK,Amazon,0.018404907975460124,2020-02,4472.4403999999995
82,2020-02-10,Fish Oil,Omega,144,45.6,6566.4,0.21,0,Canada,Amazon,0.0,2020-02,6566.4
83,2020-02-10,Multivitamin,Vitamin,140,27.4,3836.0,0.11,2,UK,Walmart,0.014285714285714285,2020-02,3787.228
84,2020-02-10,Pre-Workout,Performance,155,27.62,4281.1,0.21,1,USA,iHerb,0.0064516129032258064,2020-02,4259.2802
85,2020-02-10,BCAA,Amino Acid,134,26.26,3518.84,0.17,0,UK,Amazon,0.0,2020-02,3518.84
86,2020-02-10,Creatine,Performance,137,21.36,2926.32,0.21,1,Canada,iHerb,0.0072992700729927005,2020-02,2909.4456
87,2020-02-10,Zinc,Mineral,155,35.63,5522.65,0.08,1,UK,Amazon,0.0064516129032258064,2020-02,5489.8704
88,2020-02-10,Collagen Peptides,Protein,155,53.56,8301.8,0.19,2,UK,Walmart,0.012903225806451613,2020-02,8215.032799999999
89,2020-02-10,Magnesium,Mineral,156,55.36,8636.16,0.17,2,UK,iHerb,0.01282051282051282,2020-02,8544.2624
90,2020-02-10,Ashwagandha,Herbal,132,33.02,4358.64,0.22,1,USA,iHerb,0.007575757575757576,2020-02,4332.8844
91,2020-02-10,Melatonin,Sleep Aid,146,15.54,2268.84,0.11,0,Canada,Amazon,0.0,2020-02,2268.84
92,2020-02-10,Biotin,Vitamin,142,24.61,3494.62,0.23,2,UK,iHerb,0.014084507042253521,2020-02,3456.7206
93,2020-02-10,Green Tea Extract,Fat Burner,162,58.14,9418.68,0.18,1,UK,Walmart,0.006172839506172839,2020-02,9371.0052
94,2020-02-10,Iron Supplement,Mineral,163,53.64,8743.32,0.03,2,USA,Walmart,0.012269938650306749,2020-02,8639.258399999999
95,2020-02-10,Electrolyte Powder,Hydration,151,22.09,3335.59,0.0,1,USA,Amazon,0.006622516556291391,2020-02,3313.5
96,2020-02-17,Whey Protein,Protein,143,24.86,3554.98,0.07,2,Canada,iHerb,0.013986013986013986,2020-02,3508.7404
97,2020-02-17,Vitamin C,Vitamin,165,39.66,6543.9,0.22,0,Canada,iHerb,0.0,2020-02,6543.9
98,2020-02-17,Fish Oil,Omega,129,49.73,6415.17,0.01,1,Canada,Walmart,0.007751937984496124,2020-02,6365.9373000000005
99,2020-02-17,Multivitamin,Vitamin,151,51.57,7787.07,0.15,0,USA,Amazon,0.0,2020-02,7787.07
100,2020-02-17,Pre-Workout,Performance,131,43.46,5693.26,0.21,3,USA,Walmart,0.022900763358778626,2020-02,5590.2598
101,2020-02-17,BCAA,Amino Acid,152,31.52,4791.04,0.08,1,UK,Amazon,0.006578947368421052,2020-02,4762.0416
102,2020-02-17,Creatine,Performance,160,54.63,8740.8,0.11,2,UK,Amazon,0.0125,2020-02,8643.558599999998
103,2020-02-17,Zinc,Mineral,155,45.13,6995.15,0.06,1,USA,iHerb,0.0064516129032258064,2020-02,6952.7278
104,2020-02-17,Collagen Peptides,Protein,132,34.38,4538.16,0.16,3,Canada,Walmart,0.022727272727272728,2020-02,4451.5224
105,2020-02-17,Magnesium,Mineral,154,35.31,5437.74,0.16,0,USA,Amazon,0.0,2020-02,5437.74
106,2020-02-17,Ashwagandha,Herbal,141,33.62,4740.42,0.01,0,USA,iHerb,0.0,2020-02,4740.42
107,2020-02-17,Melatonin,Sleep Aid,144,19.8,2851.2,0.15,1,USA,iHerb,0.006944444444444444,2020-02,2834.37
108,2020-02-17,Biotin,Vitamin,139,10.28,1428.92,0.0,0,USA,Walmart,0.0,2020-02,1428.92
109,2020-02-17,Green Tea Extract,Fat Burner,117,26.94,3151.98,0.2,1,Canada,Amazon,0.008547008547008548,2020-02,3130.428
110,2020-02-17,Iron Supplement,Mineral,150,56.59,8488.5,0.1,0,UK,Amazon,0.0,2020-02,8488.5
111,2020-02-17,Electrolyte Powder,Hydration,154,27.26,4198.04,0.13,3,Canada,Amazon,0.01948051948051948,2020-02,4126.8913999999995
112,2020-02-24,Whey Protein,Protein,150,59.64,8946.0,0.03,1,UK,Walmart,0.006666666666666667,2020-02,8888.1492
113,2020-02-24,Vitamin C,Vitamin,146,30.55,4460.3,0.23,2,UK,iHerb,0.0136986301369863,2020-02,4413.253000000001
114,2020-02-24,Fish Oil,Omega,154,51.19,7883.26,0.24,3,USA,Amazon,0.01948051948051948,2020-02,7766.5468
115,2020-02-24,Multivitamin,Vitamin,123,12.98,1596.54,0.15,2,USA,Walmart,0.016260162601626018,2020-02,1574.474
116,2020-02-24,Pre-Workout,Performance,133,32.81,4363.73,0.09,0,Canada,Amazon,0.0,2020-02,4363.73
117,2020-02-24,BCAA,Amino Acid,147,13.55,1991.85,0.02,1,UK,Amazon,0.006802721088435374,2020-02,1978.571
118,2020-02-24,Creatine,Performance,175,43.93,7687.75,0.09,2,UK,Amazon,0.011428571428571429,2020-02,7607.7974
119,2020-02-24,Zinc,Mineral,170,53.68,9125.6,0.18,0,UK,iHerb,0.0,2020-02,9125.6
120,2020-02-24,Collagen Peptides,Protein,169,36.7,6202.3,0.04,0,Canada,iHerb,0.0,2020-02,6202.3
121,2020-02-24,Magnesium,Mineral,147,34.3,5042.1,0.14,0,UK,iHerb,0.0,2020-02,5042.1
122,2020-02-24,Ashwagandha,Herbal,133,27.16,3612.28,0.18,2,UK,iHerb,0.015037593984962405,2020-02,3567.7376000000004
123,2020-02-24,Melatonin,Sleep Aid,164,31.5,5166.0,0.17,1,Canada,iHerb,0.006097560975609756,2020-02,5139.855
124,2020-02-24,Biotin,Vitamin,143,32.32,4621.76,0.2,2,USA,iHerb,0.013986013986013986,2020-02,4570.048
125,2020-02-24,Green Tea Extract,Fat Burner,147,39.11,5749.17,0.09,2,UK,iHerb,0.013605442176870748,2020-02,5677.9898
126,2020-02-24,Iron Supplement,Mineral,158,28.73,4539.34,0.04,1,UK,Amazon,0.006329113924050633,2020-02,4511.7592
127,2020-02-24,Electrolyte Powder,Hydration,135,27.29,3684.15,0.04,0,Canada,Amazon,0.0,2020-02,3684.15
128,2020-03-02,Whey Protein,Protein,155,27.03,4189.65,0.02,1,Canada,Amazon,0.0064516129032258064,2020-03,4163.160599999999
129,2020-03-02,Vitamin C,Vitamin,143,40.29,5761.47,0.09,0,Canada,iHerb,0.0,2020-03,5761.47
130,2020-03-02,Fish Oil,Omega,157,34.28,5381.96,0.01,1,Canada,iHerb,0.006369426751592357,2020-03,5348.0228
131,2020-03-02,Multivitamin,Vitamin,184,11.95,2198.8,0.01,1,UK,iHerb,0.005434782608695652,2020-03,2186.9695
132,2020-03-02,Pre-Workout,Performance,136,47.81,6502.16,0.11,1,USA,Walmart,0.007352941176470588,2020-03,6459.6091
133,2020-03-02,BCAA,Amino Acid,169,57.8,9768.2,0.08,3,Canada,Amazon,0.01775147928994083,2020-03,9608.672
134,2020-03-02,Creatine,Performance,154,59.2,9116.8,0.07,4,Canada,iHerb,0.025974025974025976,2020-03,8896.576
135,2020-03-02,Zinc,Mineral,146,27.02,3944.92,0.14,0,UK,Amazon,0.0,2020-03,3944.92
136,2020-03-02,Collagen Peptides,Protein,152,48.1,7311.2,0.21,1,UK,Amazon,0.006578947368421052,2020-03,7273.201
137,2020-03-02,Magnesium,Mineral,143,19.73,2821.39,0.01,1,USA,Amazon,0.006993006993006993,2020-03,2801.8572999999997
138,2020-03-02,Ashwagandha,Herbal,152,39.02,5931.04,0.03,1,USA,Amazon,0.006578947368421052,2020-03,5893.1906
139,2020-03-02,Melatonin,Sleep Aid,154,30.09,4633.86,0.25,3,Canada,Amazon,0.01948051948051948,2020-03,4566.157499999999
140,2020-03-02,Biotin,Vitamin,154,41.03,6318.62,0.05,1,UK,Amazon,0.006493506493506494,2020-03,6279.6415
141,2020-03-02,Green Tea Extract,Fat Burner,151,58.2,8788.2,0.23,2,USA,Walmart,0.013245033112582781,2020-03,8698.572
142,2020-03-02,Iron Supplement,Mineral,151,16.53,2496.03,0.2,0,UK,Amazon,0.0,2020-03,2496.03
143,2020-03-02,Electrolyte Powder,Hydration,161,53.85,8669.85,0.24,0,USA,Amazon,0.0,2020-03,8669.85
144,2020-03-09,Whey Protein,Protein,149,34.17,5091.33,0.22,2,USA,Walmart,0.013422818791946308,2020-03,5038.0248
145,2020-03-09,Vitamin C,Vitamin,145,20.16,2923.2,0.19,1,Canada,iHerb,0.006896551724137931,2020-03,2906.8704
146,2020-03-09,Fish Oil,Omega,150,38.86,5829.0,0.22,4,UK,Walmart,0.02666666666666667,2020-03,5707.7568
147,2020-03-09,Multivitamin,Vitamin,147,48.23,7089.81,0.14,4,UK,Walmart,0.027210884353741496,2020-03,6923.898800000001
148,2020-03-09,Pre-Workout,Performance,138,52.7,7272.6,0.11,3,Canada,Amazon,0.021739130434782608,2020-03,7131.8910000000005
149,2020-03-09,BCAA,Amino Acid,168,54.17,9100.56,0.11,2,Canada,Amazon,0.011904761904761904,2020-03,9004.1374
150,2020-03-09,Creatine,Performance,154,10.96,1687.84,0.12,2,USA,Amazon,0.012987012987012988,2020-03,1668.5503999999999
151,2020-03-09,Zinc,Mineral,158,16.72,2641.76,0.07,1,USA,iHerb,0.006329113924050633,2020-03,2626.2104000000004
152,2020-03-09,Collagen Peptides,Protein,162,20.54,3327.48,0.24,0,UK,Amazon,0.0,2020-03,3327.48
153,2020-03-09,Magnesium,Mineral,163,10.72,1747.36,0.18,3,UK,iHerb,0.018404907975460124,2020-03,1720.9887999999999
154,2020-03-09,Ashwagandha,Herbal,159,47.67,7579.53,0.19,2,Canada,iHerb,0.012578616352201259,2020-03,7502.3045999999995
155,2020-03-09,Melatonin,Sleep Aid,160,40.68,6508.8,0.02,1,UK,Walmart,0.00625,2020-03,6468.9336
156,2020-03-09,Biotin,Vitamin,128,30.36,3886.08,0.02,1,USA,Walmart,0.0078125,2020-03,3856.3271999999997
157,2020-03-09,Green Tea Extract,Fat Burner,132,57.38,7574.16,0.02,3,USA,Amazon,0.022727272727272728,2020-03,7405.4628
158,2020-03-09,Iron Supplement,Mineral,151,13.84,2089.84,0.13,2,Canada,iHerb,0.013245033112582781,2020-03,2065.7584
159,2020-03-09,Electrolyte Powder,Hydration,158,13.65,2156.7,0.1,1,Canada,Amazon,0.006329113924050633,2020-03,2144.415
160,2020-03-16,Whey Protein,Protein,140,50.17,7023.8,0.23,1,Canada,iHerb,0.007142857142857143,2020-03,6985.1691
161,2020-03-16,Vitamin C,Vitamin,169,33.82,5715.58,0.06,2,Canada,Walmart,0.011834319526627219,2020-03,5651.9983999999995
162,2020-03-16,Fish Oil,Omega,145,16.15,2341.75,0.22,1,Canada,Amazon,0.006896551724137931,2020-03,2329.153
163,2020-03-16,Multivitamin,Vitamin,148,41.24,6103.52,0.02,2,UK,Amazon,0.013513513513513514,2020-03,6022.689600000001
164,2020-03-16,Pre-Workout,Performance,140,51.13,7158.2,0.2,1,USA,Walmart,0.007142857142857143,2020-03,7117.295999999999
165,2020-03-16,BCAA,Amino Acid,151,48.77,7364.27,0.07,1,UK,Amazon,0.006622516556291391,2020-03,7318.9139000000005
166,2020-03-16,Creatine,Performance,142,41.48,5890.16,0.01,2,Canada,Amazon,0.014084507042253521,2020-03,5808.0296
167,2020-03-16,Zinc,Mineral,143,35.56,5085.08,0.01,1,USA,Amazon,0.006993006993006993,2020-03,5049.8756
168,2020-03-16,Collagen Peptides,Protein,158,51.97,8211.26,0.0,1,Canada,iHerb,0.006329113924050633,2020-03,8159.29
169,2020-03-16,Magnesium,Mineral,159,15.09,2399.31,0.09,1,Canada,iHerb,0.006289308176100629,2020-03,2385.5780999999997
170,2020-03-16,Ashwagandha,Herbal,164,49.45,8109.8,0.22,1,Canada,iHerb,0.006097560975609756,2020-03,8071.229
171,2020-03-16,Melatonin,Sleep Aid,170,58.2,9894.0,0.02,2,Canada,Amazon,0.011764705882352941,2020-03,9779.928
172,2020-03-16,Biotin,Vitamin,150,41.64,6246.0,0.18,0,UK,iHerb,0.0,2020-03,6246.0
173,2020-03-16,Green Tea Extract,Fat Burner,136,43.32,5891.52,0.24,2,UK,Walmart,0.014705882352941176,2020-03,5825.6736
174,2020-03-16,Iron Supplement,Mineral,178,24.9,4432.2,0.03,3,UK,iHerb,0.016853932584269662,2020-03,4359.741
175,2020-03-16,Electrolyte Powder,Hydration,155,28.0,4340.0,0.24,1,USA,Amazon,0.0064516129032258064,2020-03,4318.72
176,2020-03-23,Whey Protein,Protein,148,20.44,3025.12,0.09,1,UK,Walmart,0.006756756756756757,2020-03,3006.5196
177,2020-03-23,Vitamin C,Vitamin,147,52.52,7720.44,0.05,2,Canada,Amazon,0.013605442176870748,2020-03,7620.652
178,2020-03-23,Fish Oil,Omega,149,20.79,3097.71,0.17,2,Canada,iHerb,0.013422818791946308,2020-03,3063.1986
179,2020-03-23,Multivitamin,Vitamin,142,42.58,6046.36,0.18,1,Canada,Amazon,0.007042253521126761,2020-03,6011.444399999999
180,2020-03-23,Pre-Workout,Performance,155,45.66,7077.3,0.05,3,Canada,Walmart,0.01935483870967742,2020-03,6947.169
181,2020-03-23,BCAA,Amino Acid,142,12.9,1831.8,0.03,1,UK,Walmart,0.007042253521126761,2020-03,1819.287
182,2020-03-23,Creatine,Performance,141,10.73,1512.93,0.09,1,UK,iHerb,0.0070921985815602835,2020-03,1503.1657
183,2020-03-23,Zinc,Mineral,147,30.21,4440.87,0.13,2,UK,Amazon,0.013605442176870748,2020-03,4388.3045999999995
184,2020-03-23,Collagen Peptides,Protein,156,48.7,7597.2,0.19,1,Canada,Amazon,0.00641025641025641,2020-03,7557.753
185,2020-03-23,Magnesium,Mineral,162,23.28,3771.36,0.0,1,UK,iHerb,0.006172839506172839,2020-03,3748.08
186,2020-03-23,Ashwagandha,Herbal,160,27.4,4384.0,0.09,0,USA,Amazon,0.0,2020-03,4384.0
187,2020-03-23,Melatonin,Sleep Aid,143,58.71,8395.53,0.21,0,Canada,iHerb,0.0,2020-03,8395.53
188,2020-03-23,Biotin,Vitamin,168,49.02,8235.36,0.11,1,USA,Amazon,0.005952380952380952,2020-03,8191.7322
189,2020-03-23,Green Tea Extract,Fat Burner,143,21.41,3061.63,0.06,1,Canada,Amazon,0.006993006993006993,2020-03,3041.5046
190,2020-03-23,Iron Supplement,Mineral,159,12.89,2049.51,0.24,4,USA,Amazon,0.025157232704402517,2020-03,2010.3244000000002
191,2020-03-23,Electrolyte Powder,Hydration,151,13.78,2080.78,0.09,1,UK,Amazon,0.006622516556291391,2020-03,2068.2402
192,2020-03-30,Whey Protein,Protein,138,41.12,5674.56,0.2,1,Canada,iHerb,0.007246376811594203,2020-03,5641.664000000001
193,2020-03-30,Vitamin C,Vitamin,135,41.8,5643.0,0.1,2,Canada,Amazon,0.014814814814814815,2020-03,5567.76
194,2020-03-30,Fish Oil,Omega,141,55.87,7877.67,0.07,1,USA,Amazon,0.0070921985815602835,2020-03,7825.7109
195,2020-03-30,Multivitamin,Vitamin,168,13.11,2202.48,0.04,0,UK,Amazon,0.0,2020-03,2202.48
196,2020-03-30,Pre-Workout,Performance,155,16.71,2590.05,0.24,1,USA,Amazon,0.0064516129032258064,2020-03,2577.3504000000003
197,2020-03-30,BCAA,Amino Acid,140,43.98,6157.2,0.02,1,UK,Walmart,0.007142857142857143,2020-03,6114.0996
198,2020-03-30,Creatine,Performance,162,37.33,6047.46,0.11,0,USA,Amazon,0.0,2020-03,6047.46
199,2020-03-30,Zinc,Mineral,136,20.46,2782.56,0.01,2,USA,Amazon,0.014705882352941176,2020-03,2742.0492
200,2020-03-30,Collagen Peptides,Protein,165,58.03,9574.95,0.05,4,Canada,iHerb,0.024242424242424242,2020-03,9354.436000000002
201,2020-03-30,Magnesium,Mineral,141,39.68,5594.88,0.02,2,UK,iHerb,0.014184397163120567,2020-03,5517.1072
202,2020-03-30,Ashwagandha,Herbal,160,33.85,5416.0,0.18,1,USA,Walmart,0.00625,2020-03,5388.243
203,2020-03-30,Melatonin,Sleep Aid,155,18.13,2810.15,0.14,2,UK,iHerb,0.012903225806451613,2020-03,2778.9664000000002
204,2020-03-30,Biotin,Vitamin,150,10.45,1567.5,0.09,3,UK,Amazon,0.02,2020-03,1538.9715
205,2020-03-30,Green Tea Extract,Fat Burner,140,21.1,2954.0,0.08,3,USA,iHerb,0.02142857142857143,2020-03,2895.764
206,2020-03-30,Iron Supplement,Mineral,158,31.44,4967.52,0.01,1,UK,iHerb,0.006329113924050633,2020-03,4936.3944
207,2020-03-30,Electrolyte Powder,Hydration,156,24.44,3812.64,0.1,3,USA,Amazon,0.019230769230769232,2020-03,3746.652
208,2020-04-06,Whey Protein,Protein,160,29.62,4739.2,0.19,3,UK,iHerb,0.01875,2020-04,4667.2234
209,2020-04-06,Vitamin C,Vitamin,178,27.86,4959.08,0.2,1,UK,Walmart,0.0056179775280898875,2020-04,4936.792
